Date,Action,Details
Date,Action,Details
Date,Action,Details
2025-12-27T16:55:46.1969457,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:04:40.0143527,LOGOUT,Utilisateur: admin
2025-12-27T17:04:51.9332703,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:13:44.3344664,LOGOUT,Utilisateur: admin
2025-12-27T17:13:53.102507,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:14:00.0245942,LOGOUT,Utilisateur: admin
Date,Action,Details
2025-12-27T17:15:06.0185381,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
Date,Action,Details
2025-12-27T17:18:42.2670251,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:20:25.7107902,LOGOUT,Utilisateur: admin
2025-12-27T17:20:35.8533698,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:20:52.1599662,LOGOUT,Utilisateur: yasser
Date,Action,Details
2025-12-27T17:30:37.2217605,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:31:47.2182357,LOGOUT,Utilisateur: admin
2025-12-27T17:31:56.2976723,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T17:32:06.6238816,LOGOUT,Utilisateur: admin
2025-12-27T17:32:14.5138453,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T17:39:46.6742804,LOGOUT,Utilisateur: admin
2025-12-27T17:40:06.4769388,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:40:08.2932259,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:40:20.5125103,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:40:21.8489413,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:40:22.0742038,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T17:45:13.409713,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:45:15.3725473,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:45:15.5889296,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T17:46:26.597281,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:46:42.9510049,LOGIN_REUSSI,Utilisateur: client1, Role: CLIENT
2025-12-27T17:46:52.9583878,LOGIN_REUSSI,Utilisateur: client1, Role: CLIENT
Date,Action,Details
2025-12-27T17:48:44.5613689,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T17:49:02.417698,LOGIN_REUSSI,Utilisateur: client1, Role: CLIENT
2025-12-27T17:49:03.2873547,LOGIN_REUSSI,Utilisateur: client1, Role: CLIENT
2025-12-27T17:49:04.5364272,LOGIN_REUSSI,Utilisateur: client1, Role: CLIENT
2025-12-27T17:49:04.727437,LOGIN_REUSSI,Utilisateur: client1, Role: CLIENT
Date,Action,Details
2025-12-27T17:50:53.7020314,LOGIN_REUSSI,Utilisateur: client1, Role: CLIENT
Date,Action,Details
2025-12-27T17:52:40.1547433,LOGIN_ECHOUE,Utilisateur: client, Raison: Utilisateur introuvable
2025-12-27T17:52:48.3671381,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T17:55:23.2631567,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T17:58:14.1239091,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T18:03:52.4194524,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T18:03:53.9220599,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T18:03:54.0957659,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T18:03:54.2914004,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T18:04:09.7446279,LOGIN_REUSSI,Utilisateur: client1, Role: CLIENT
Date,Action,Details
2025-12-27T18:06:57.7081241,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T18:07:06.2104391,LOGIN_REUSSI,Utilisateur: client1, Role: CLIENT
2025-12-27T18:07:07.4308563,LOGIN_REUSSI,Utilisateur: client1, Role: CLIENT
Date,Action,Details
2025-12-27T18:08:56.8922683,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T18:09:08.7521009,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T18:09:16.9394929,LOGOUT,Utilisateur: admin
2025-12-27T18:09:26.3759567,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T18:12:29.512976,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T18:32:22.7419396,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T18:32:23.0063157,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T18:32:24.8613372,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T18:34:09.0280948,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T18:36:14.8415723,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T18:38:34.9938681,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T18:41:16.4832825,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T19:32:35.9913981,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T19:34:37.906812,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T19:38:28.4844409,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T21:46:57.5279775,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T21:49:37.5515662,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T21:49:38.8696148,LOGOUT,Utilisateur: yasser
2025-12-27T21:49:59.2465963,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T21:52:22.4058305,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T21:53:44.7073359,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T21:54:47.4735748,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T21:54:48.6127386,LOGOUT,Utilisateur: yasser
2025-12-27T21:55:16.9222398,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T21:55:43.8175024,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 200
2025-12-27T21:56:27.1826272,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 100
Date,Action,Details
2025-12-27T22:01:06.335022,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T22:01:29.5405414,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 100
2025-12-27T22:01:55.4432464,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 200
Date,Action,Details
2025-12-27T22:05:13.9759055,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T22:05:15.3129375,LOGOUT,Utilisateur: yasser
2025-12-27T22:05:31.2946543,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T22:06:02.1916077,VIREMENT_REUSSI,Compte ACC6868401663 -> ACC6852312184, Montant: 200
Date,Action,Details
2025-12-27T22:12:25.3309629,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T22:14:17.738571,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 100
2025-12-27T22:14:46.1849583,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 12.20
Date,Action,Details
2025-12-27T22:25:00.6447599,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T22:30:15.0032676,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
Date,Action,Details
2025-12-27T22:34:45.4215429,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T22:36:24.5581169,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
Date,Action,Details
2025-12-27T23:03:12.5618027,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T23:06:43.4199629,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-27T23:07:07.6194826,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T23:08:37.9705424,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6852312245, Montant: 100
2025-12-27T23:09:07.4913484,LOGOUT,Utilisateur: yasser
2025-12-27T23:09:17.9410015,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T23:10:17.8021499,LOGOUT,Utilisateur: admin
2025-12-27T23:12:43.3779698,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-27T23:14:35.2424949,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 100
2025-12-27T23:17:22.564164,LOGOUT,Utilisateur: yasser
2025-12-27T23:17:39.3186968,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-27T23:18:56.6668339,LOGOUT,Utilisateur: admin
Date,Action,Details
Date,Action,Details
2025-12-28T12:25:01.5308129,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-28T12:25:12.7073502,LOGOUT,Utilisateur: yasser
2025-12-28T12:25:21.3789569,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-28T12:25:30.4000398,LOGOUT,Utilisateur: admin
Date,Action,Details
2025-12-28T12:30:03.1946043,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-28T13:35:56.9804269,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-28T13:42:14.3927169,LOGOUT,Utilisateur: yasser
Date,Action,Details
2025-12-28T19:46:53.6057906,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-28T19:47:06.2486857,LOGOUT,Utilisateur: yasser
2025-12-28T19:47:39.8829818,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-28T19:49:07.4600049,LOGOUT,Utilisateur: yasser
Date,Action,Details
2025-12-28T19:54:28.6304625,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-28T19:54:37.8218568,LOGOUT,Utilisateur: yasser
2025-12-28T19:54:47.5788502,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-28T19:55:05.9077771,LOGOUT,Utilisateur: yasser
2025-12-28T19:55:23.203192,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-28T20:02:13.971398,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-28T20:20:14.8130877,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-28T22:06:10.7422208,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-28T22:06:19.2969814,LOGOUT,Utilisateur: yasser
2025-12-28T22:10:53.7949882,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-28T22:15:20.0421293,LOGOUT,Utilisateur: yasser
2025-12-28T23:05:37.6769074,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-28T23:05:48.7866156,LOGOUT,Utilisateur: yasser
2025-12-29T13:01:08.8183777,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T13:03:37.2472508,LOGOUT,Utilisateur: yasser
2025-12-29T13:03:48.1318659,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-29T13:41:05.5878839,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T13:41:22.942533,LOGOUT,Utilisateur: yasser
Date,Action,Details
2025-12-29T13:48:44.3133746,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T13:48:53.9442162,LOGOUT,Utilisateur: yasser
2025-12-29T13:49:06.6865947,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-29T13:49:23.2063897,LOGOUT,Utilisateur: admin
Date,Action,Details
2025-12-29T14:01:28.5048932,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T14:01:42.0530726,LOGOUT,Utilisateur: yasser
2025-12-29T14:01:51.0536747,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
Date,Action,Details
2025-12-29T14:11:29.1301477,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T14:13:21.9221087,PASSWORD_CHANGE,Mot de passe changé pour: yasser
2025-12-29T14:13:24.4603831,LOGOUT,Utilisateur: yasser
2025-12-29T14:13:37.1420747,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T14:26:33.4857286,LOGOUT,Utilisateur: yasser
2025-12-29T14:26:45.2105286,LOGIN_ECHOUE,Utilisateur: yasser, Raison: Mot de passe incorrect (Tentative 1/3)
2025-12-29T14:26:48.6921495,LOGIN_ECHOUE,Utilisateur: yasser, Raison: Mot de passe incorrect (Tentative 2/3)
2025-12-29T14:26:59.5755036,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-29T14:30:27.245868,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
Date,Action,Details
2025-12-29T14:36:16.9359478,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-29T14:41:38.6316191,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T14:43:16.4588261,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 100
2025-12-29T14:45:27.9685725,LOGOUT,Utilisateur: yasser
2025-12-29T14:45:34.0963751,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
Date,Action,Details
2025-12-29T14:49:26.0980963,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-29T15:02:32.0519056,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T15:02:55.2960233,LOGOUT,Utilisateur: yasser
2025-12-29T15:03:02.0795609,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-29T15:03:19.5013092,LOGOUT,Utilisateur: admin
2025-12-29T15:03:25.9233096,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T15:03:35.6587379,LOGOUT,Utilisateur: yasser
Date,Action,Details
2025-12-29T15:09:45.1729314,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T15:10:19.4533008,LOGOUT,Utilisateur: yasser
2025-12-29T15:10:27.0894007,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-29T15:11:14.8074308,LOGOUT,Utilisateur: admin
Date,Action,Details
2025-12-29T15:22:20.3374198,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T15:22:27.302068,LOGOUT,Utilisateur: yasser
Date,Action,Details
2025-12-29T15:24:40.1298367,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
Date,Action,Details
2025-12-29T15:30:20.5246002,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-29T15:30:42.5572588,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
Date,Action,Details
2025-12-29T16:07:59.7528849,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-29T16:10:53.7863907,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-29T16:14:31.6280893,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-29T16:16:17.7639808,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-29T16:20:47.0794459,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T16:21:15.0135742,LOGOUT,Utilisateur: yasser
2025-12-29T16:21:22.3318246,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-29T16:28:47.2158281,LOGOUT,Utilisateur: admin
2025-12-29T16:28:55.3189456,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T16:31:40.1460757,LOGOUT,Utilisateur: yasser
2025-12-29T16:31:58.9901311,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-29T22:58:41.4253999,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 100
Date,Action,Details
2025-12-29T23:21:44.3616538,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-30T09:11:20.4294173,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-30T09:13:25.4499464,LOGOUT,Utilisateur: yasser
2025-12-30T09:13:36.8943565,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-30T09:14:14.9849569,LOGOUT,Utilisateur: admin
Date,Action,Details
2025-12-30T11:12:45.3444061,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-30T11:12:53.7810361,LOGOUT,Utilisateur: yasser
Date,Action,Details
Date,Action,Details
Date,Action,Details
Date,Action,Details
Date,Action,Details
2025-12-30T11:41:39.5396093,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-30T11:45:30.3153887,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-30T11:52:05.5357172,LOGOUT,Utilisateur: yasser
2025-12-30T11:52:41.0942801,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-30T11:53:48.5804807,VIREMENT_REUSSI,Compte ACC6868401663 -> ACC6852312184, Montant: 812.20
Date,Action,Details
2025-12-30T12:14:04.8093851,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-30T12:19:53.9679223,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
Date,Action,Details
2025-12-30T12:31:16.343134,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-30T12:32:27.5963369,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 300
2025-12-30T12:33:09.1885321,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 600
Date,Action,Details
2025-12-30T12:39:52.2717342,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-30T12:48:34.3191483,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-30T12:49:04.7297876,VIREMENT_REUSSI,Compte ACC6868401663 -> ACC6852312184, Montant: 900
2025-12-30T13:05:49.1518929,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 100
2025-12-30T13:06:16.5917387,VIREMENT_REUSSI,Compte ACC6852312184 -> ACC6868401663, Montant: 300
Date,Action,Details
2025-12-30T13:14:56.7939669,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-30T13:48:51.4498334,LOGOUT,Utilisateur: yasser
2025-12-30T13:50:20.8479767,LOGIN_ECHOUE,Utilisateur: admin, Raison: Mot de passe incorrect (Tentative 1/3)
2025-12-30T13:50:25.4758289,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-30T13:51:37.7092566,LOGOUT,Utilisateur: admin
2025-12-30T13:51:45.7859437,LOGIN_ECHOUE,Utilisateur: yasser, Raison: Mot de passe incorrect (Tentative 1/3)
2025-12-30T13:51:47.2154899,LOGIN_ECHOUE,Utilisateur: yasser, Raison: Mot de passe incorrect (Tentative 2/3)
2025-12-30T13:51:48.1644393,COMPTE_BLOQUE,Utilisateur: yasser bloqué aprčs 3 tentatives échouées
2025-12-30T13:52:16.9400312,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-30T13:52:26.5116632,COMPTE_DEBLOQUE,Compte débloqué: yasser (ID: 3)
2025-12-30T13:53:26.6634349,LOGOUT,Utilisateur: admin
2025-12-30T13:53:49.999471,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-30T13:54:02.7237561,LOGOUT,Utilisateur: admin
2025-12-30T13:54:08.2550278,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2025-12-30T14:45:15.5458893,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-30T14:45:27.857993,LOGOUT,Utilisateur: yasser
2025-12-30T14:45:46.0081378,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2025-12-30T14:51:08.1534202,LOGOUT,Utilisateur: yasser
2025-12-30T14:51:13.709299,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-30T14:51:18.9114837,LOGOUT,Utilisateur: admin
2025-12-30T14:51:23.5277449,LOGOUT,Utilisateur: yasser
2025-12-30T14:51:32.1453418,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2025-12-31T21:06:44.437239,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2026-01-01T08:50:05.3466273,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T08:51:57.0707072,LOGOUT,Utilisateur: yasser
2026-01-01T08:56:17.6572661,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2026-01-01T09:03:40.3403697,LOGOUT,Utilisateur: yasser
2026-01-01T09:03:55.1202695,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2026-01-01T09:13:21.9112331,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T09:15:29.386175,LOGOUT,Utilisateur: yasser
2026-01-01T09:15:52.2078857,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
Date,Action,Details
2026-01-01T09:30:40.2772609,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T09:31:09.3704353,LOGOUT,Utilisateur: yasser
2026-01-01T09:31:24.4227647,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T09:33:19.9194004,LOGOUT,Utilisateur: yasser
2026-01-01T09:33:32.1136901,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T09:35:11.5161031,LOGOUT,Utilisateur: yasser
2026-01-01T09:35:28.9978016,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T09:35:40.5017948,LOGOUT,Utilisateur: yasser
2026-01-01T09:36:00.7658064,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2026-01-01T09:36:13.9079226,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2026-01-01T09:36:42.1699303,LOGOUT,Utilisateur: admin
Date,Action,Details
Date,Action,Details
Date,Action,Details
2026-01-01T13:11:06.325751,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T13:12:03.2973974,LOGOUT,Utilisateur: yasser
2026-01-01T13:12:50.6270305,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T13:16:19.4968629,LOGOUT,Utilisateur: yasser
2026-01-01T13:16:37.4765205,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2026-01-01T13:16:50.6170746,LOGOUT,Utilisateur: admin
2026-01-01T13:17:18.4173326,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
Date,Action,Details
2026-01-01T13:23:44.0081092,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T13:24:01.0706668,LOGOUT,Utilisateur: yasser
2026-01-01T13:24:13.0045491,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T13:25:01.5270201,LOGOUT,Utilisateur: yasser
2026-01-01T13:25:09.3439082,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
Date,Action,Details
2026-01-01T14:31:35.6590751,LOGIN_REUSSI,Utilisateur: yasser, Role: CLIENT
2026-01-01T14:31:48.8034293,LOGOUT,Utilisateur: yasser
2026-01-01T14:31:57.4601485,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
2026-01-01T14:32:23.2053239,LOGOUT,Utilisateur: admin
2026-01-01T14:32:35.5760727,LOGIN_REUSSI,Utilisateur: admin, Role: ADMIN
